title,text,label
"Government passes new law","The government approved a new reform package to improve taxes and healthcare.",REAL
"Celebrity discovers miracle cure","A celebrity reveals a secret remedy that instantly cures all illnesses.",FAKE
"Elections scheduled this fall","Officials confirm the national elections will take place in October.",REAL
"Alien spaceship lands","An alien spaceship was spotted landing in the capital city right before dawn.",FAKE
"Local school wins award","A neighborhood school received a national award for student achievement.",REAL
"Secret billionaire giveaway","A billionaire is giving away millions to people who click a secret link.",FAKE
"Scientists develop clean energy","Researchers created a more efficient solar panel to reduce emissions.",REAL
"Magic pill reverses aging","A newly discovered pill promises to reverse aging in just one week.",FAKE
"Government passes new law","The government approved a new reform package to improve taxes and healthcare.",REAL
"Celebrity discovers miracle cure","A celebrity reveals a secret remedy that instantly cures all illnesses.",FAKE
"Elections scheduled this fall","Officials confirm the national elections will take place in October.",REAL
"Alien spaceship lands","An alien spaceship was spotted landing in the capital city right before dawn.",FAKE
"Local school wins award","A neighborhood school received a national award for student achievement.",REAL
"Secret billionaire giveaway","A billionaire is giving away millions to people who click a secret link.",FAKE
"Scientists develop clean energy","Researchers created a more efficient solar panel to reduce emissions.",REAL
"Magic pill reverses aging","A newly discovered pill promises to reverse aging in just one week.",FAKE
"Government passes new law","The government approved a new reform package to improve taxes and healthcare.",REAL
"Celebrity discovers miracle cure","A celebrity reveals a secret remedy that instantly cures all illnesses.",FAKE
"Elections scheduled this fall","Officials confirm the national elections will take place in October.",REAL
"Alien spaceship lands","An alien spaceship was spotted landing in the capital city right before dawn.",FAKE
"Local school wins award","A neighborhood school received a national award for student achievement.",REAL
"Secret billionaire giveaway","A billionaire is giving away millions to people who click a secret link.",FAKE
"Scientists develop clean energy","Researchers created a more efficient solar panel to reduce emissions.",REAL
"Magic pill reverses aging","A newly discovered pill promises to reverse aging in just one week.",FAKE
"Government passes new law","The government approved a new reform package to improve taxes and healthcare.",REAL
"Celebrity discovers miracle cure","A celebrity reveals a secret remedy that instantly cures all illnesses.",FAKE
"Elections scheduled this fall","Officials confirm the national elections will take place in October.",REAL
"Alien spaceship lands","An alien spaceship was spotted landing in the capital city right before dawn.",FAKE
"Local school wins award","A neighborhood school received a national award for student achievement.",REAL
"Secret billionaire giveaway","A billionaire is giving away millions to people who click a secret link.",FAKE
"Scientists develop clean energy","Researchers created a more efficient solar panel to reduce emissions.",REAL
"Magic pill reverses aging","A newly discovered pill promises to reverse aging in just one week.",FAKE
"Government passes new law","The government approved a new reform package to improve taxes and healthcare.",REAL
"Celebrity discovers miracle cure","A celebrity reveals a secret remedy that instantly cures all illnesses.",FAKE
"Elections scheduled this fall","Officials confirm the national elections will take place in October.",REAL
"Alien spaceship lands","An alien spaceship was spotted landing in the capital city right before dawn.",FAKE
"Local school wins award","A neighborhood school received a national award for student achievement.",REAL
"Secret billionaire giveaway","A billionaire is giving away millions to people who click a secret link.",FAKE
"Scientists develop clean energy","Researchers created a more efficient solar panel to reduce emissions.",REAL
"Magic pill reverses aging","A newly discovered pill promises to reverse aging in just one week.",FAKE
"Government passes new law","The government approved a new reform package to improve taxes and healthcare.",REAL
"Celebrity discovers miracle cure","A celebrity reveals a secret remedy that instantly cures all illnesses.",FAKE
"Elections scheduled this fall","Officials confirm the national elections will take place in October.",REAL
"Alien spaceship lands","An alien spaceship was spotted landing in the capital city right before dawn.",FAKE
"Local school wins award","A neighborhood school received a national award for student achievement.",REAL
"Secret billionaire giveaway","A billionaire is giving away millions to people who click a secret link.",FAKE
"Scientists develop clean energy","Researchers created a more efficient solar panel to reduce emissions.",REAL
"Magic pill reverses aging","A newly discovered pill promises to reverse aging in just one week.",FAKE
"Government passes new law","The government approved a new reform package to improve taxes and healthcare.",REAL
"Celebrity discovers miracle cure","A celebrity reveals a secret remedy that instantly cures all illnesses.",FAKE
"Elections scheduled this fall","Officials confirm the national elections will take place in October.",REAL
"Alien spaceship lands","An alien spaceship was spotted landing in the capital city right before dawn.",FAKE
"Local school wins award","A neighborhood school received a national award for student achievement.",REAL
"Secret billionaire giveaway","A billionaire is giving away millions to people who click a secret link.",FAKE
"Scientists develop clean energy","Researchers created a more efficient solar panel to reduce emissions.",REAL
"Magic pill reverses aging","A newly discovered pill promises to reverse aging in just one week.",FAKE
"Government passes new law","The government approved a new reform package to improve taxes and healthcare.",REAL
"Celebrity discovers miracle cure","A celebrity reveals a secret remedy that instantly cures all illnesses.",FAKE
"Elections scheduled this fall","Officials confirm the national elections will take place in October.",REAL
"Alien spaceship lands","An alien spaceship was spotted landing in the capital city right before dawn.",FAKE
"Local school wins award","A neighborhood school received a national award for student achievement.",REAL
"Secret billionaire giveaway","A billionaire is giving away millions to people who click a secret link.",FAKE
"Scientists develop clean energy","Researchers created a more efficient solar panel to reduce emissions.",REAL
"Magic pill reverses aging","A newly discovered pill promises to reverse aging in just one week.",FAKE
"Government passes new law","The government approved a new reform package to improve taxes and healthcare.",REAL
"Celebrity discovers miracle cure","A celebrity reveals a secret remedy that instantly cures all illnesses.",FAKE
"Elections scheduled this fall","Officials confirm the national elections will take place in October.",REAL
"Alien spaceship lands","An alien spaceship was spotted landing in the capital city right before dawn.",FAKE
"Local school wins award","A neighborhood school received a national award for student achievement.",REAL
"Secret billionaire giveaway","A billionaire is giving away millions to people who click a secret link.",FAKE
"Scientists develop clean energy","Researchers created a more efficient solar panel to reduce emissions.",REAL
"Magic pill reverses aging","A newly discovered pill promises to reverse aging in just one week.",FAKE
"Government passes new law","The government approved a new reform package to improve taxes and healthcare.",REAL
"Celebrity discovers miracle cure","A celebrity reveals a secret remedy that instantly cures all illnesses.",FAKE
"Elections scheduled this fall","Officials confirm the national elections will take place in October.",REAL
"Alien spaceship lands","An alien spaceship was spotted landing in the capital city right before dawn.",FAKE
"Local school wins award","A neighborhood school received a national award for student achievement.",REAL
"Secret billionaire giveaway","A billionaire is giving away millions to people who click a secret link.",FAKE
"Scientists develop clean energy","Researchers created a more efficient solar panel to reduce emissions.",REAL
"Magic pill reverses aging","A newly discovered pill promises to reverse aging in just one week.",FAKE
